job_id,user_id,task_id,project_id,progress,created_at
cd98e98a-66d5-4cb9-9940-cb03021d6a3c,1740077374191,1f5fd921-b303-41f6-ac71-8658abfd0370,fdd1530b-0448-4c46-b8ee-3494a7a949c4,0,2025-03-16T17:01:06.700Z
a443dc66-94ad-49bd-a88f-af0a833c2325,1740077374191,19faa353-0191-42e5-a11e-87db123a6680,973217af-e075-4400-b6ff-21fe1bafcdae,0,2025-03-17T18:45:07.451Z
67435b09-f648-47e0-b866-7844ad824822,1740077374191,675cd99d-f5f4-4d01-a7f8-d36f2352e3b5,9586bc83-261a-4202-8ae8-edea0cbf4481,0,2025-03-17T19:03:23.854Z
d9255f56-954a-46dd-894b-ebd437a600e9,1740077374191,3e028b41-138f-4136-919b-3faed7fc9284,53014e70-fb8d-4f04-b6be-e07b695ef36f,0,2025-03-18T21:36:38.005Z
91cea3ff-1f57-4548-84d9-3a4acb16e804,1740077374191,321718e2-9010-49e0-892f-5f5f475f636e,5b1bd1c2-2c7b-44d8-a384-41eb56eaef8c,0,2025-03-19T08:16:48.203Z
59ef9e29-bfdd-4928-8019-501783946e88,1740077374191,1f5fd921-b303-41f6-ac71-8658abfd0370,fdd1530b-0448-4c46-b8ee-3494a7a949c4,0,2025-03-22T07:43:10.177Z
c40ed6f3-24cf-42e6-aa77-97639bb5c6cb,1740077374191,c0928442-b541-4977-8a29-9cd35859d0c5,8b340e0f-70b9-41b8-bcee-33010410d527,0,2025-03-23T19:55:45.285Z
61c21e07-2476-4022-85ad-d0ecff537a63,1740077374191,c11f8bb1-ba2a-45c0-8ff2-2d2f94f0a61e,8b340e0f-70b9-41b8-bcee-33010410d527,0,2025-03-23T20:13:13.626Z
1758cf14-3546-4bb5-b411-14fcfc841620,1740077374191,3412528e-67ca-440a-86e5-e698dac697a1,08f47df9-6c95-4713-b4d2-b54d01b21697,0,2025-03-29T09:14:58.781Z
06250de7-969a-4e58-afe8-630aaad323a5,1740077374191,84868457-1f97-4e8e-b346-3c24b91b0a08,4a488ce5-d2ad-4d5d-b636-5211c37f9d3b,0,2025-03-29T13:11:54.038Z
